author,authordescription,authorfavouritecount,authorfollowercount,authorfriendcount,authorid,authorimageurl,authorlang,authorlocation,authorname,authortimezone,authorurl,body,deviceinfo,docid,doclatitude,doclongitude,isretweet,referenceauthor,referenceauthorid,publisheddatetime,publisheddatetimestr,tags,listoflinks,mentionedusernames,mentionedusers,retweetcount
shanatic_loki,"Die hard fan of @shahidkapoor #shanatic_lokesh Fan account? #sashaaaluv???? #Pureshanatic ?#shahidkapoor wo sirf star nahi hai, duniya hai meri…",11284,231,198,1903108260,http://pbs.twimg.com/profile_images/1039026360549666816/4nButn5k_normal.jpg,en,"Coimbatore, India",shanatic || lokesh ?,,,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0382966E18,,,1,,,1852003385,"8 September, 2018 5:23:05 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
shanatic_nimra1,#Muslim #iBleedGreen??#CatMom?#Shanatic?fan account for @shahidkapoor He's Bae?His Upcoming?#BattiGulMeterChalu #21Sep admin?@shahidkapoorFC #PakCricket fan,66542,3754,141,496631949,http://pbs.twimg.com/profile_images/1031620291024351232/D2MpDau6_normal.jpg,en,"Karachi, Pakistan",Nimra?Shahid?BGMC?21st Sep 2018,,,"RT @Shahid_Online: DNA ? Snippet : ""Actress for Arjun Reddy remake to be finalised soon"" - confirms producer @MuradKhetani .
@shahidkapoor…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382966E18,,,1,,,1852003370,"8 September, 2018 5:22:50 AM GMT",,,Shahid Kapoor Online ?;Murad Khetani;Shahid Kapoor,Shahid_Online;MuradKhetani;shahidkapoor,25
PrernaThukral16,"You don't know how lovely you are...?? I Love You @Shahidkapoor..Wild Hearts can't be Broken.??
Yes you all..you're beautiful??",50463,1187,2202,851564767,http://pbs.twimg.com/profile_images/1037314700449476609/F56v-EUx_normal.jpg,en,,Prerna Thukral..,,,"RT @Shahid_Online: DNA ? Snippet : ""Actress for Arjun Reddy remake to be finalised soon"" - confirms producer @MuradKhetani .
@shahidkapoor…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382961E18,,,1,,,1852003263,"8 September, 2018 5:21:03 AM GMT",,,Shahid Kapoor Online ?;Murad Khetani;Shahid Kapoor,Shahid_Online;MuradKhetani;shahidkapoor,25
PyarShasha,#TurkishShanatic ?Shanatic Sidika @shahidkapoor is my world ? @shahidkapoor followed me 12October2014 for 9 months ?Turkey loves you Shahid? ShaMira's Misha ?,12858,6657,119,2301184590,http://pbs.twimg.com/profile_images/1038159879662395394/pO-ygo8t_normal.jpg,tr,,PyarShasha Shahid's Turkish Fan?,,https://t.co/AjW1piErCL,"RT @Shahid_Online: DNA ? Snippet : ""Actress for Arjun Reddy remake to be finalised soon"" - confirms producer @MuradKhetani .
@shahidkapoor…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.038296E18,,,1,,,1852003236,"8 September, 2018 5:20:36 AM GMT",,,Shahid Kapoor Online ?;Murad Khetani;Shahid Kapoor,Shahid_Online;MuradKhetani;shahidkapoor,25
Shahid_Online,Welcome to SKO ? - your first & number one resource for everything #ShahidKapoor-related & the origin of the #Shanatic fandom! Follow our man at @shahidkapoor.,8347,149113,53,70565268,http://pbs.twimg.com/profile_images/1018934482307616769/9NSMo8c7_normal.jpg,en,Worldwide,Shahid Kapoor Online ?,,https://t.co/DWTPZTotoR,"DNA ? Snippet : ""Actress for Arjun Reddy remake to be finalised soon"" - confirms producer @MuradKhetani .… https://t.co/84IEqrEtXm","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.038296E18,,,0,,,1852003223,"8 September, 2018 5:20:23 AM GMT",,https://twitter.com/i/web/status/1038295966384902145,Murad Khetani,MuradKhetani,25
adithi123,I am crazy... I am sweet.. I am weird... But I am the best... Proud #Shanitics Dream: To meet #ShahidKapoor #Misha #Mira #IshaanKhatter at least once in my life,4332,217,93,7.3542139E17,http://pbs.twimg.com/profile_images/1037320682097405952/d36jsQJo_normal.jpg,en,,?BGMC ?fever caught girl!,,,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382957E18,,,1,,,1852003152,"8 September, 2018 5:19:12 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
Abhishrivastav9,"? I Think, Therefore I am ? Fan Account ?",37790,2264,894,1142213754,http://pbs.twimg.com/profile_images/1039435999569301505/RnktZMRz_normal.jpg,en,Jamshedpur,ABHI,,https://t.co/u5dc220ZzY,"RT @CinemaaMania: Actress For #ArjunReddy Remake To Be Finalized Soon
Producer @MuradKhetani Talks About Why Tara Sutaria Had To Opt out ht…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382956E18,,,1,,,1852003132,"8 September, 2018 5:18:52 AM GMT",ArjunReddy,,Cinema Mania ?;Murad Khetani,CinemaaMania;MuradKhetani,15
Govind12703047,Amma,450,5,122,1.0380843E18,http://pbs.twimg.com/profile_images/1038384590921101312/RZQriH5E_normal.jpg,en,"Bengaluru South, India",Govind,,,RT @sridhargoud55: #IndianSuperStar @rajinikanth new movie #Petta @TheDeverakonda 's #ArjunReddy version from @TheRowdyClub fans https://t.…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382956E18,,,1,,,1852003125,"8 September, 2018 5:18:45 AM GMT",IndianSuperStar;Petta;ArjunReddy,,Sridhar Rowdy ??;Rajinikanth;Vijay Deverakonda;Rowdy Club,sridhargoud55;rajinikanth;TheDeverakonda;TheRowdyClub,1
Nani4u143,"Latest Movie ?,Political, Sports? & News Paper?Updates ! Promotions!Views Are Personal ! TRS !",6617,4924,46,131489358,http://pbs.twimg.com/profile_images/1000243872126066688/6U-zhcD5_normal.jpg,en,London - Hyderabad -Karimnagar,Movies&Politics ? ? N@Ni R€DDY?,,,"RT @Nani4u143: Actress For #ArjunReddy Remake To Be Finalized Soon
Producer @MuradKhetani Talks About Why Tara Sutaria Had To Opt Out https…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0382942E18,,,1,,,1852002813,"8 September, 2018 5:13:33 AM GMT",ArjunReddy,,Movies&Politics ? ? N@Ni R€DDY?;Murad Khetani,Nani4u143;MuradKhetani,17
shanatic_nimra1,#Muslim #iBleedGreen??#CatMom?#Shanatic?fan account for @shahidkapoor He's Bae?His Upcoming?#BattiGulMeterChalu #21Sep admin?@shahidkapoorFC #PakCricket fan,66542,3754,141,496631949,http://pbs.twimg.com/profile_images/1031620291024351232/D2MpDau6_normal.jpg,en,"Karachi, Pakistan",Nimra?Shahid?BGMC?21st Sep 2018,,,"RT @CinemaaMania: Actress For #ArjunReddy Remake To Be Finalized Soon
Producer @MuradKhetani Talks About Why Tara Sutaria Had To Opt out ht…","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382942E18,,,1,,,1852002794,"8 September, 2018 5:13:14 AM GMT",ArjunReddy,,Cinema Mania ?;Murad Khetani,CinemaaMania;MuradKhetani,15
ZainKapoorFC,"1st Fan club dedicated to Zain Kapoor - @shahidkapoor & Mira's bundle of joy & Misha's li'l brother ??
Birthday : 5th September,       2018",433,72,19,9.8810551E17,http://pbs.twimg.com/profile_images/1038297849958563842/TJD0yCiY_normal.jpg,en,,Zain Kapoor FC,,https://t.co/qWJcKkzItm,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.038294E18,,,1,,,1852002744,"8 September, 2018 5:12:24 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
shanatic_nimra1,#Muslim #iBleedGreen??#CatMom?#Shanatic?fan account for @shahidkapoor He's Bae?His Upcoming?#BattiGulMeterChalu #21Sep admin?@shahidkapoorFC #PakCricket fan,66542,3754,141,496631949,http://pbs.twimg.com/profile_images/1031620291024351232/D2MpDau6_normal.jpg,en,"Karachi, Pakistan",Nimra?Shahid?BGMC?21st Sep 2018,,,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382936E18,,,1,,,1852002647,"8 September, 2018 5:10:47 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
ShahidWebsite,Offical Account of https://t.co/qxZboIMDmf follow us for the all updates of @shahidkapoor  mail@shahidkapoor.website,13256,13835,156,3136902696,http://pbs.twimg.com/profile_images/1033543957387587584/2IugeREq_normal.jpg,en,India,Shahid Kapoor Website | Batti ?Gul Meter Chalu,,https://t.co/F2jkGsKGsp,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382935E18,,,1,,,1852002634,"8 September, 2018 5:10:34 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
GarafaNovac,"@shahidkapoor #Shahid #Misha #Mira my family ?
#Shanatics my friends ?",7941,96,171,9.8193556E17,http://pbs.twimg.com/profile_images/1038656414531682305/PvnAItDg_normal.jpg,it,Italia,Garafa ?BGMC21?,,,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382927E18,,,1,,,1852002439,"8 September, 2018 5:07:19 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
adityastar9999,"Social Service?

||Helping Hands Are Better Than Praying Lips||
Remember Me In Your Prayers ??
?success is Never Ending  
 failure is Never Final?",1007,50,443,3150818810,http://pbs.twimg.com/profile_images/1036230612246511616/ftYOodIQ_normal.jpg,en,Hyderabad Telangana,kumar Aditya,,,@filmfare @shahidkapoor Looking like #ShahidKapoor is getting ready to remake of #ArjunReddy #VijayDeverakonda,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382911E18,,,0,filmfare,35695228,1852002054,"8 September, 2018 5:00:54 AM GMT",ShahidKapoor;ArjunReddy;VijayDeverakonda,,Filmfare;Shahid Kapoor,filmfare;shahidkapoor,0
shahidkapoorNet,"Welcome To A True FanClub Dedicated
To Our SuperStar @shahidkapoor | 
(Next Movies Batti Gul Meter Chalu & Arjun Reddy) 
? Admin Is Here ? @ParasShanatic",835,3764,51,469419995,http://pbs.twimg.com/profile_images/1031076108429656064/qhx3eL6O_normal.jpg,en,WorldWide,Shahid Kapoor Net,,https://t.co/jVmlVzQETK,RT @ArjunReddyFC: Print Media | Actress for #ArjunReddy remake to be finalised soon | Producer @MuradKhetani talks about why Tara Sutarua h…,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",1.0382909E18,,,1,,,1852002020,"8 September, 2018 5:00:20 AM GMT",ArjunReddy,,Arjun Reddy FC;Murad Khetani,ArjunReddyFC;MuradKhetani,22
rashi_giria,"• Fan account • // 16th April, 2016. ? // Admin- @MishaZainKapoor",23499,2472,26,2587824564,http://pbs.twimg.com/profile_images/984090418055995392/j3lLdV8-_normal.jpg,en,India,?? Shahid Kapoor’s BAE ??,,https://t.co/7rzr1LQjMe,"RT @CinemaaMania: Actress For #ArjunReddy Remake To Be Finalized Soon
Producer @MuradKhetani Talks About Why Tara Sutaria Had To Opt out ht…","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",1.0382909E18,,,1,,,1852002009,"8 September, 2018 5:00:09 AM GMT",ArjunReddy,,Cinema Mania ?;Murad Khetani,CinemaaMania;MuradKhetani,15
